# DATE: 2015-01-09T05:57:08
#Pause,Count,Name
SHARYANTO,507,Steven Haryanto
TOBYINK,313,Toby Inkster
PERLANCAR,296,perlancar
RJBS,292,Ricardo SIGNES
ADAMK,287,Adam Kennedy
ZOFFIX,269,Zoffix Znet
TOKUHIROM,251,Tokuhiro Matsuno
MIYAGAWA,230,Tatsuhiko Miyagawa
BINGOS,214,Chris Williams
INGY,213,Ingy dot Net
FLORA,209,Florian Ragwitz
SMUELLER,190,Steffen Mueller
DAGOLDEN,187,David Golden
MARCEL,182,Marcel Gruenauer
ETHER,173,Karen Etheridge
BOBTFISH,172,Tomas Doran
NUFFIN,161,Yuval Kogman
KENTNL,158,Kent Fredric
DROLSKY,144,Dave Rolsky
DMAKI,137,Daisuke Maki
GUGOD,136,Liu Kang Min
BARBIE,128,Barbie
BDFOY,128,brian d foy
PEVANS,127,Paul Evans
RSAVAGE,126,Ron Savage
AUTRIJUS,125,Audrey Tang
SIMON,121,Simon Cozens
FAYLAND,120,Fayland Lin
SZABGAB,118,Gabor Szabo
SHLOMIF,114,Shlomi Fish
NEILB,111,Neil Bowers
LBROCARD,111,Leon Brocard
MRAMBERG,110,Marcus Ramberg
SALVA,108,Salvador Fandino Garcia
DMUEY,106,Daniel Muey
MLEHMANN,106,Marc Lehmann
LEOCHARRE,101,Leo Charre
